lr,loss_train,accuracy_validation
0.0002,6.424023628234863,31.546666666666667
0.0002,6.343502521514893,31.546666666666667
0.0002,5.102405548095703,31.546666666666667
0.0002,4.922036647796631,31.546666666666667
0.0002,4.586279392242432,31.546666666666667
0.0002,3.8745529651641846,31.546666666666667
0.0002,4.024499416351318,31.546666666666667
0.0002,4.003727912902832,31.546666666666667
0.0002,4.015857219696045,31.546666666666667
0.0002,3.9556219577789307,31.546666666666667
0.0002,3.5875720977783203,31.546666666666667
0.0002,4.163707733154297,31.546666666666667
0.0002,4.168936252593994,31.546666666666667
0.0002,3.930105686187744,31.546666666666667
0.0002,3.982957601547241,31.546666666666667
0.0002,3.155694007873535,31.546666666666667
0.0002,3.573437213897705,31.546666666666667
0.0002,3.1784908771514893,31.546666666666667
0.0002,3.5531110763549805,31.546666666666667
0.0002,3.1033859252929688,31.546666666666667
0.0002,3.2159576416015625,31.546666666666667
0.0002,2.8233559131622314,31.546666666666667
0.0002,3.030883312225342,31.546666666666667
0.0002,2.903318405151367,31.546666666666667
0.0002,3.3430655002593994,31.546666666666667
0.0002,3.134657144546509,31.546666666666667
0.0002,3.220097541809082,31.546666666666667
0.0002,3.135627269744873,31.546666666666667
0.0002,3.336988687515259,31.546666666666667
0.0002,3.0343782901763916,31.546666666666667
0.0002,2.7558605670928955,31.546666666666667
0.0002,3.3959789276123047,31.546666666666667
0.0002,2.9826343059539795,31.546666666666667
0.0002,2.7954585552215576,31.546666666666667
0.0002,2.8665690422058105,31.546666666666667
0.0002,2.7624123096466064,31.546666666666667
0.0002,2.8827667236328125,31.546666666666667
0.0002,2.748032331466675,31.546666666666667
0.0002,2.4658761024475098,31.546666666666667
0.0002,2.5688469409942627,31.546666666666667
0.0002,2.8008902072906494,31.546666666666667
0.0002,2.7231037616729736,31.546666666666667
0.0002,2.4522757530212402,31.546666666666667
0.0002,2.4417343139648438,31.546666666666667
0.0002,2.260429859161377,31.546666666666667
0.0002,2.811814069747925,31.546666666666667
0.0002,2.5004470348358154,31.546666666666667
0.0002,2.5674352645874023,31.546666666666667
0.0002,2.390563726425171,31.546666666666667
0.0002,2.450206995010376,31.546666666666667
0.0002,2.4161720275878906,31.546666666666667
