lr,loss_train,accuracy_validation
0.001,6.872735977172852,29.56
0.001,4.982672691345215,29.56
0.001,4.573969841003418,29.56
0.001,4.43458366394043,29.56
0.001,4.154449462890625,29.56
0.001,3.4756038188934326,29.56
0.001,3.843350410461426,29.56
0.001,3.430449962615967,29.56
0.001,3.651546001434326,29.56
0.001,3.0715975761413574,29.56
0.001,2.7657039165496826,29.56
0.001,3.064852476119995,29.56
0.001,2.887918472290039,29.56
0.001,2.9203169345855713,29.56
0.001,2.4506702423095703,29.56
0.001,2.797511339187622,29.56
0.001,2.6097588539123535,29.56
0.001,2.5543787479400635,29.56
0.001,2.5873818397521973,29.56
0.001,2.64608097076416,29.56
0.001,2.8345234394073486,29.56
0.001,2.5147016048431396,29.56
0.001,2.470444679260254,29.56
0.001,2.7059884071350098,29.56
0.001,2.5212998390197754,29.56
0.001,2.4019386768341064,29.56
0.001,2.572255849838257,29.56
0.001,2.5120656490325928,29.56
0.001,2.606527328491211,29.56
0.001,2.491755962371826,29.56
0.001,2.4522154331207275,29.56
0.001,2.4910802841186523,29.56
0.001,2.3987936973571777,29.56
0.001,2.2061750888824463,29.56
0.001,2.2413837909698486,29.56
0.001,2.2983694076538086,29.56
0.001,2.4227116107940674,29.56
0.001,2.1513173580169678,29.56
0.001,2.3313610553741455,29.56
0.001,2.330716848373413,29.56
0.001,2.202021598815918,29.56
0.001,2.3827497959136963,29.56
0.001,2.3095545768737793,29.56
0.001,2.128262996673584,29.56
0.001,2.4269115924835205,29.56
0.001,2.052368640899658,29.56
0.001,2.467703342437744,29.56
0.001,2.0055201053619385,29.56
0.001,2.124098062515259,29.56
0.001,2.078780174255371,29.56
0.001,2.0058627128601074,29.56
0.001,2.1407511234283447,29.56
0.001,2.133033514022827,29.56
0.001,2.149087905883789,29.56
0.001,2.016343116760254,29.56
0.001,1.9202505350112915,29.56
0.001,2.194763422012329,29.56
0.001,2.130577325820923,29.56
0.001,1.9725998640060425,29.56
0.001,2.171807050704956,29.56
0.001,2.0716443061828613,29.56
0.001,1.8375296592712402,29.56
0.001,2.0753800868988037,29.56
0.001,2.0064592361450195,29.56
0.001,1.8989530801773071,29.56
0.001,1.9913415908813477,29.56
0.001,2.128617286682129,29.56
0.001,2.0361127853393555,29.56
0.001,2.0618984699249268,29.56
0.001,2.0088531970977783,29.56
0.001,1.9329700469970703,29.56
0.001,1.8977166414260864,29.56
0.001,1.8939671516418457,29.56
0.001,2.0743675231933594,29.56
0.001,1.8897584676742554,29.56
0.001,2.0392966270446777,29.56
0.001,2.124253749847412,29.56
0.001,2.2852513790130615,29.56
0.001,1.9859776496887207,29.56
0.001,1.880181074142456,29.56
0.001,1.9961174726486206,29.56
0.001,2.0832536220550537,29.56
0.001,2.006507396697998,29.56
0.001,1.8377790451049805,29.56
0.001,2.165520668029785,29.56
0.001,1.9628660678863525,29.56
0.001,1.7946813106536865,29.56
0.001,1.8608814477920532,29.56
0.001,2.035618305206299,29.56
0.001,1.8679271936416626,29.56
0.001,1.7234971523284912,29.56
0.001,1.7138786315917969,29.56
0.001,1.7029179334640503,29.56
0.001,1.9259535074234009,29.56
0.001,1.9629731178283691,29.56
0.001,1.6589585542678833,29.56
0.001,1.8485935926437378,29.56
0.001,2.013871908187866,29.56
0.001,2.217982292175293,29.56
0.001,2.2592828273773193,29.56
0.001,1.5736700296401978,29.56
0.001,2.0563948154449463,29.56
0.001,1.823133111000061,29.56
0.001,1.8494656085968018,29.56
0.001,2.198472261428833,29.56
0.001,1.9936549663543701,29.56
0.001,1.9256200790405273,29.56
0.001,1.8009974956512451,29.56
0.001,1.6222131252288818,29.56
0.001,1.7971420288085938,29.56
0.001,1.6713162660598755,29.56
0.001,1.6607716083526611,29.56
0.001,1.8885035514831543,29.56
0.001,1.9611109495162964,29.56
0.001,1.8379987478256226,29.56
0.001,1.8528953790664673,29.56
0.001,1.8672114610671997,29.56
0.001,1.8710553646087646,29.56
0.001,1.6465373039245605,29.56
0.001,1.8679951429367065,29.56
0.001,1.7344716787338257,29.56
0.001,1.919134259223938,29.56
0.001,1.9455760717391968,29.56
0.001,2.247464418411255,29.56
0.001,1.8228141069412231,29.56
0.001,1.683821439743042,29.56
0.001,1.606789231300354,29.56
0.001,1.7491000890731812,29.56
0.001,1.6290322542190552,29.56
0.001,1.7403995990753174,29.56
0.001,1.8489301204681396,29.56
0.001,1.5887115001678467,29.56
0.001,1.796118140220642,29.56
0.001,1.6927059888839722,29.56
0.001,1.7013338804244995,29.56
0.001,1.578089714050293,29.56
0.001,1.6695637702941895,29.56
0.001,1.687134861946106,29.56
0.001,1.853139877319336,29.56
0.001,1.9839237928390503,29.56
0.001,1.7217210531234741,29.56
0.001,1.5357270240783691,29.56
0.001,1.7819017171859741,29.56
0.001,1.5186569690704346,29.56
0.001,2.189432382583618,29.56
0.001,1.6048794984817505,29.56
0.001,1.7501685619354248,29.56
0.001,1.922124981880188,29.56
0.001,1.6361267566680908,29.56
0.001,1.4469753503799438,29.56
0.001,1.8616529703140259,29.56
0.001,1.7969337701797485,29.56
0.001,1.8215426206588745,29.56
0.001,1.7480645179748535,29.56
0.001,1.7984821796417236,29.56
0.001,1.8139688968658447,29.56
0.001,1.5985965728759766,29.56
0.001,1.9151384830474854,29.56
0.001,1.794809341430664,29.56
0.001,1.8605419397354126,29.56
0.001,1.7219936847686768,29.56
0.001,1.6933269500732422,29.56
0.001,1.6585756540298462,29.56
0.001,1.7468359470367432,29.56
0.001,1.5429267883300781,29.56
0.001,1.7529520988464355,29.56
0.001,1.4280987977981567,29.56
0.001,1.561246395111084,29.56
0.001,1.5289578437805176,29.56
0.001,1.6744275093078613,29.56
0.001,2.144838571548462,29.56
0.001,1.7208068370819092,29.56
0.001,1.6088049411773682,29.56
0.001,1.2526345252990723,29.56
0.001,1.713464379310608,29.56
0.001,1.5198196172714233,29.56
0.001,1.567943811416626,29.56
0.001,1.3995753526687622,29.56
0.001,1.5844312906265259,29.56
0.001,1.3708752393722534,29.56
0.001,1.375628113746643,29.56
0.001,1.5136873722076416,29.56
0.001,2.0381510257720947,29.56
0.001,1.5616284608840942,29.56
0.001,1.3628976345062256,29.56
0.001,1.7676305770874023,29.56
0.001,1.6376070976257324,29.56
0.001,1.4782583713531494,29.56
0.001,1.7187387943267822,29.56
0.001,1.616148829460144,29.56
0.001,1.690624713897705,29.56
0.001,1.3922765254974365,29.56
0.001,1.3269158601760864,29.56
0.001,1.7214953899383545,29.56
0.001,1.4280319213867188,29.56
0.001,1.834493637084961,29.56
0.001,1.7639423608779907,29.56
0.001,1.6746960878372192,29.56
0.001,1.4648993015289307,29.56
0.001,1.58307945728302,29.56
0.001,1.3125922679901123,29.56
0.001,1.5635688304901123,29.56
0.001,1.5627014636993408,29.56
0.001,1.5766595602035522,29.56
0.001,1.74717378616333,29.56
0.001,1.52226722240448,29.56
0.001,1.5186091661453247,29.56
0.001,1.3653773069381714,29.56
0.001,1.811511516571045,29.56
0.001,1.749169945716858,29.56
0.001,1.2829400300979614,29.56
0.001,1.4340143203735352,29.56
0.001,1.803240180015564,29.56
0.001,1.734004020690918,29.56
0.001,1.4538533687591553,29.56
0.001,1.85654878616333,29.56
0.001,1.462848424911499,29.56
0.001,1.5548198223114014,29.56
0.001,1.3876460790634155,29.56
0.001,1.5864081382751465,29.56
0.001,1.5714497566223145,29.56
0.001,1.6014878749847412,29.56
0.001,1.8336396217346191,29.56
0.001,1.7186436653137207,29.56
0.001,1.6268891096115112,29.56
0.001,2.0894811153411865,29.56
0.001,1.7787790298461914,29.56
0.001,1.5065944194793701,29.56
0.001,1.4608417749404907,29.56
0.001,1.5048569440841675,29.56
0.001,1.3597302436828613,29.56
0.001,1.507457971572876,29.56
0.001,1.752250075340271,29.56
0.001,1.5514171123504639,29.56
0.001,1.4399882555007935,29.56
0.001,1.6557013988494873,29.56
0.001,1.3389991521835327,29.56
0.001,1.385092854499817,29.56
0.001,1.4390963315963745,29.56
0.001,1.7007830142974854,29.56
0.001,1.4798136949539185,29.56
0.001,1.6631137132644653,29.56
0.001,1.551667332649231,29.56
0.001,1.9201372861862183,29.56
0.001,1.27528715133667,29.56
0.001,1.4200226068496704,29.56
0.001,1.7985831499099731,29.56
0.001,1.4080071449279785,29.56
0.001,1.4582372903823853,29.56
0.001,1.2171519994735718,29.56
0.001,1.1619250774383545,29.56
0.001,1.4978350400924683,29.56
0.001,1.3072714805603027,29.56
0.001,1.2211363315582275,29.56
0.001,1.241544485092163,29.56
0.001,1.4748938083648682,29.56
0.001,1.444259524345398,29.56
0.001,1.431268334388733,29.56
0.001,1.5378865003585815,29.56
0.001,1.5092034339904785,29.56
0.001,1.503909945487976,29.56
0.001,1.3840807676315308,29.56
0.001,1.1992225646972656,29.56
0.001,1.2783104181289673,29.56
0.001,1.6824216842651367,29.56
0.001,1.3807071447372437,29.56
0.001,1.6003576517105103,29.56
0.001,1.5210880041122437,29.56
0.001,1.2247406244277954,29.56
0.001,1.5388325452804565,29.56
0.001,1.5076885223388672,29.56
0.001,1.3494843244552612,29.56
0.001,1.093187689781189,29.56
0.001,1.030014157295227,29.56
0.001,1.5184693336486816,29.56
0.001,1.453813910484314,29.56
0.001,1.5168538093566895,29.56
0.001,1.4605365991592407,29.56
0.001,1.3212851285934448,29.56
0.001,1.2659794092178345,29.56
